table,row_index,issue_type,description
customers,1849,inconsistent_city_format,Capitalization or extra spaces in city
customers,3620,inconsistent_city_format,Capitalization or extra spaces in city
customers,2450,inconsistent_city_format,Capitalization or extra spaces in city
customers,4663,inconsistent_city_format,Capitalization or extra spaces in city
customers,4743,inconsistent_city_format,Capitalization or extra spaces in city
customers,2390,inconsistent_city_format,Capitalization or extra spaces in city
customers,4483,inconsistent_city_format,Capitalization or extra spaces in city
customers,404,inconsistent_city_format,Capitalization or extra spaces in city
customers,5165,inconsistent_city_format,Capitalization or extra spaces in city
customers,5679,inconsistent_city_format,Capitalization or extra spaces in city
customers,3569,inconsistent_city_format,Capitalization or extra spaces in city
customers,4539,inconsistent_city_format,Capitalization or extra spaces in city
customers,4048,inconsistent_city_format,Capitalization or extra spaces in city
customers,5376,inconsistent_city_format,Capitalization or extra spaces in city
customers,1842,inconsistent_city_format,Capitalization or extra spaces in city
customers,3491,inconsistent_city_format,Capitalization or extra spaces in city
customers,5281,inconsistent_city_format,Capitalization or extra spaces in city
customers,3181,inconsistent_city_format,Capitalization or extra spaces in city
customers,2016,inconsistent_city_format,Capitalization or extra spaces in city
customers,5898,inconsistent_city_format,Capitalization or extra spaces in city
customers,2043,inconsistent_city_format,Capitalization or extra spaces in city
customers,1116,inconsistent_city_format,Capitalization or extra spaces in city
customers,4795,inconsistent_city_format,Capitalization or extra spaces in city
customers,4074,inconsistent_city_format,Capitalization or extra spaces in city
customers,1386,inconsistent_city_format,Capitalization or extra spaces in city
customers,7223,inconsistent_city_format,Capitalization or extra spaces in city
customers,1921,inconsistent_city_format,Capitalization or extra spaces in city
customers,1226,inconsistent_city_format,Capitalization or extra spaces in city
customers,2457,inconsistent_city_format,Capitalization or extra spaces in city
customers,7430,inconsistent_city_format,Capitalization or extra spaces in city
customers,6933,inconsistent_city_format,Capitalization or extra spaces in city
customers,7387,inconsistent_city_format,Capitalization or extra spaces in city
customers,5564,inconsistent_city_format,Capitalization or extra spaces in city
customers,4948,inconsistent_city_format,Capitalization or extra spaces in city
customers,3223,inconsistent_city_format,Capitalization or extra spaces in city
customers,614,inconsistent_city_format,Capitalization or extra spaces in city
customers,5223,inconsistent_city_format,Capitalization or extra spaces in city
customers,1005,inconsistent_city_format,Capitalization or extra spaces in city
customers,2907,inconsistent_city_format,Capitalization or extra spaces in city
customers,185,inconsistent_city_format,Capitalization or extra spaces in city
customers,4940,inconsistent_city_format,Capitalization or extra spaces in city
customers,3748,inconsistent_city_format,Capitalization or extra spaces in city
customers,7310,inconsistent_city_format,Capitalization or extra spaces in city
customers,20,inconsistent_city_format,Capitalization or extra spaces in city
customers,7000,inconsistent_city_format,Capitalization or extra spaces in city
customers,994,inconsistent_city_format,Capitalization or extra spaces in city
customers,3184,inconsistent_city_format,Capitalization or extra spaces in city
customers,2315,inconsistent_city_format,Capitalization or extra spaces in city
customers,494,inconsistent_city_format,Capitalization or extra spaces in city
customers,669,inconsistent_city_format,Capitalization or extra spaces in city
customers,4586,inconsistent_city_format,Capitalization or extra spaces in city
customers,3563,inconsistent_city_format,Capitalization or extra spaces in city
customers,7490,inconsistent_city_format,Capitalization or extra spaces in city
customers,1869,inconsistent_city_format,Capitalization or extra spaces in city
customers,6757,inconsistent_city_format,Capitalization or extra spaces in city
customers,4319,inconsistent_city_format,Capitalization or extra spaces in city
customers,4060,inconsistent_city_format,Capitalization or extra spaces in city
customers,698,inconsistent_city_format,Capitalization or extra spaces in city
customers,7046,inconsistent_city_format,Capitalization or extra spaces in city
customers,243,inconsistent_city_format,Capitalization or extra spaces in city
customers,391,inconsistent_city_format,Capitalization or extra spaces in city
customers,4965,inconsistent_city_format,Capitalization or extra spaces in city
customers,2597,inconsistent_city_format,Capitalization or extra spaces in city
customers,3516,inconsistent_city_format,Capitalization or extra spaces in city
customers,7074,inconsistent_city_format,Capitalization or extra spaces in city
customers,4468,inconsistent_city_format,Capitalization or extra spaces in city
customers,6035,inconsistent_city_format,Capitalization or extra spaces in city
customers,3792,inconsistent_city_format,Capitalization or extra spaces in city
customers,3148,inconsistent_city_format,Capitalization or extra spaces in city
customers,886,inconsistent_city_format,Capitalization or extra spaces in city
customers,5518,inconsistent_city_format,Capitalization or extra spaces in city
customers,1832,inconsistent_city_format,Capitalization or extra spaces in city
customers,4537,inconsistent_city_format,Capitalization or extra spaces in city
customers,1105,inconsistent_city_format,Capitalization or extra spaces in city
customers,5097,invalid_age,Age outside valid business range 18–100
customers,5482,invalid_age,Age outside valid business range 18–100
customers,4335,invalid_age,Age outside valid business range 18–100
customers,2739,invalid_age,Age outside valid business range 18–100
customers,4813,invalid_age,Age outside valid business range 18–100
customers,2485,invalid_age,Age outside valid business range 18–100
customers,5231,invalid_age,Age outside valid business range 18–100
customers,3501,invalid_age,Age outside valid business range 18–100
customers,2303,invalid_age,Age outside valid business range 18–100
customers,6494,invalid_age,Age outside valid business range 18–100
customers,2689,invalid_age,Age outside valid business range 18–100
customers,3378,invalid_age,Age outside valid business range 18–100
customers,4403,invalid_age,Age outside valid business range 18–100
customers,3957,invalid_age,Age outside valid business range 18–100
customers,2885,invalid_age,Age outside valid business range 18–100
customers,6394,invalid_age,Age outside valid business range 18–100
customers,2166,invalid_age,Age outside valid business range 18–100
customers,2158,invalid_age,Age outside valid business range 18–100
customers,6367,invalid_age,Age outside valid business range 18–100
customers,6238,invalid_age,Age outside valid business range 18–100
customers,7393,invalid_age,Age outside valid business range 18–100
customers,2548,invalid_age,Age outside valid business range 18–100
customers,1936,invalid_age,Age outside valid business range 18–100
customers,4201,invalid_age,Age outside valid business range 18–100
customers,4824,invalid_age,Age outside valid business range 18–100
customers,4992,invalid_age,Age outside valid business range 18–100
customers,1793,invalid_age,Age outside valid business range 18–100
customers,2115,invalid_age,Age outside valid business range 18–100
customers,4091,invalid_age,Age outside valid business range 18–100
customers,499,invalid_age,Age outside valid business range 18–100
customers,7207,invalid_age,Age outside valid business range 18–100
customers,6637,invalid_age,Age outside valid business range 18–100
customers,945,invalid_age,Age outside valid business range 18–100
customers,6492,invalid_age,Age outside valid business range 18–100
customers,320,invalid_age,Age outside valid business range 18–100
customers,5643,invalid_age,Age outside valid business range 18–100
customers,683,invalid_age,Age outside valid business range 18–100
customers,3762,invalid_age,Age outside valid business range 18–100
customers,7464,invalid_age,Age outside valid business range 18–100
customers,7418,invalid_age,Age outside valid business range 18–100
customers,1361,invalid_age,Age outside valid business range 18–100
customers,1117,invalid_age,Age outside valid business range 18–100
customers,890,invalid_age,Age outside valid business range 18–100
customers,5258,invalid_age,Age outside valid business range 18–100
customers,5711,invalid_age,Age outside valid business range 18–100
customers,4774,invalid_age,Age outside valid business range 18–100
customers,3147,invalid_age,Age outside valid business range 18–100
customers,4502,invalid_age,Age outside valid business range 18–100
customers,4064,invalid_age,Age outside valid business range 18–100
customers,7495,invalid_age,Age outside valid business range 18–100
customers,1137,invalid_age,Age outside valid business range 18–100
customers,6322,invalid_age,Age outside valid business range 18–100
customers,3278,invalid_age,Age outside valid business range 18–100
customers,3160,invalid_age,Age outside valid business range 18–100
customers,6645,invalid_age,Age outside valid business range 18–100
customers,3767,invalid_age,Age outside valid business range 18–100
customers,6738,invalid_age,Age outside valid business range 18–100
customers,4215,invalid_age,Age outside valid business range 18–100
customers,2355,invalid_age,Age outside valid business range 18–100
customers,2470,invalid_age,Age outside valid business range 18–100
customers,5763,invalid_age,Age outside valid business range 18–100
customers,2624,invalid_age,Age outside valid business range 18–100
customers,3145,invalid_age,Age outside valid business range 18–100
customers,661,invalid_age,Age outside valid business range 18–100
customers,28,invalid_age,Age outside valid business range 18–100
customers,3807,invalid_age,Age outside valid business range 18–100
customers,4149,invalid_age,Age outside valid business range 18–100
customers,2491,invalid_age,Age outside valid business range 18–100
customers,5617,invalid_age,Age outside valid business range 18–100
customers,4022,invalid_age,Age outside valid business range 18–100
customers,7266,invalid_age,Age outside valid business range 18–100
customers,6642,invalid_age,Age outside valid business range 18–100
customers,6503,invalid_age,Age outside valid business range 18–100
customers,5863,invalid_age,Age outside valid business range 18–100
customers,2564,invalid_age,Age outside valid business range 18–100
customers,1001,invalid_age,Age outside valid business range 18–100
customers,1616,invalid_age,Age outside valid business range 18–100
customers,6828,invalid_age,Age outside valid business range 18–100
customers,4848,invalid_age,Age outside valid business range 18–100
customers,2792,invalid_age,Age outside valid business range 18–100
customers,1543,missing_state,Missing state value
customers,6369,missing_state,Missing state value
customers,5360,missing_state,Missing state value
customers,1334,missing_state,Missing state value
customers,5975,missing_state,Missing state value
customers,6843,missing_state,Missing state value
customers,1520,missing_state,Missing state value
customers,3594,missing_state,Missing state value
customers,5092,missing_state,Missing state value
customers,3664,missing_state,Missing state value
customers,5541,missing_state,Missing state value
customers,2817,missing_state,Missing state value
customers,5504,missing_state,Missing state value
customers,5552,missing_state,Missing state value
customers,3579,missing_state,Missing state value
customers,3551,missing_state,Missing state value
customers,1503,missing_state,Missing state value
customers,1809,missing_state,Missing state value
customers,4945,missing_state,Missing state value
customers,1146,missing_state,Missing state value
customers,3744,missing_state,Missing state value
customers,6750,missing_state,Missing state value
customers,3917,missing_state,Missing state value
customers,1318,missing_state,Missing state value
customers,567,missing_state,Missing state value
customers,6176,missing_state,Missing state value
customers,2572,missing_state,Missing state value
customers,6856,missing_state,Missing state value
customers,3833,missing_state,Missing state value
customers,202,missing_state,Missing state value
customers,674,missing_state,Missing state value
customers,3332,missing_state,Missing state value
customers,6923,missing_state,Missing state value
customers,6841,missing_state,Missing state value
customers,5207,missing_state,Missing state value
customers,2932,missing_state,Missing state value
customers,3706,missing_state,Missing state value
customers,6896,missing_state,Missing state value
customers,1696,missing_state,Missing state value
customers,3798,missing_state,Missing state value
customers,1500,missing_state,Missing state value
customers,2812,missing_state,Missing state value
customers,3430,missing_state,Missing state value
customers,762,missing_state,Missing state value
customers,57,missing_state,Missing state value
customers,4519,missing_state,Missing state value
customers,5139,missing_state,Missing state value
customers,7366,missing_state,Missing state value
customers,365,missing_state,Missing state value
customers,2258,missing_state,Missing state value
customers,7181,missing_state,Missing state value
customers,5776,missing_state,Missing state value
customers,3870,missing_state,Missing state value
customers,6824,missing_state,Missing state value
customers,1620,missing_state,Missing state value
customers,6422,missing_state,Missing state value
customers,5168,missing_state,Missing state value
customers,6549,missing_state,Missing state value
customers,612,missing_state,Missing state value
customers,4687,missing_state,Missing state value
customers,5220,missing_state,Missing state value
customers,1842,missing_state,Missing state value
customers,6686,missing_state,Missing state value
customers,6518,missing_state,Missing state value
customers,477,missing_state,Missing state value
customers,3697,missing_state,Missing state value
customers,5797,missing_state,Missing state value
customers,2835,missing_state,Missing state value
customers,3291,missing_state,Missing state value
customers,532,missing_state,Missing state value
customers,6130,missing_state,Missing state value
customers,5221,missing_state,Missing state value
customers,2252,missing_state,Missing state value
customers,7420,missing_state,Missing state value
customers,682,missing_state,Missing state value
customers,1736,missing_state,Missing state value
customers,1091,missing_state,Missing state value
customers,2669,missing_state,Missing state value
customers,238,missing_state,Missing state value
customers,2264,missing_state,Missing state value
customers,1205,missing_state,Missing state value
customers,336,missing_state,Missing state value
customers,6951,missing_state,Missing state value
customers,555,missing_state,Missing state value
customers,1017,missing_state,Missing state value
customers,5215,missing_state,Missing state value
customers,5816,missing_state,Missing state value
customers,6017,missing_state,Missing state value
customers,1750,missing_state,Missing state value
customers,6716,missing_state,Missing state value
customers,2898,missing_state,Missing state value
customers,1710,missing_state,Missing state value
customers,4041,missing_state,Missing state value
customers,1453,missing_state,Missing state value
customers,2464,missing_state,Missing state value
customers,4198,missing_state,Missing state value
customers,6014,missing_state,Missing state value
customers,5997,missing_state,Missing state value
customers,6074,missing_state,Missing state value
customers,6673,missing_state,Missing state value
customers,1754,missing_state,Missing state value
customers,2867,missing_state,Missing state value
customers,7305,missing_state,Missing state value
customers,5677,missing_state,Missing state value
customers,6661,missing_state,Missing state value
customers,4407,missing_state,Missing state value
customers,2822,missing_state,Missing state value
customers,6311,missing_state,Missing state value
customers,7474,missing_state,Missing state value
customers,1584,missing_state,Missing state value
customers,3550,missing_state,Missing state value
customers,2754,missing_state,Missing state value
customers,3157,missing_state,Missing state value
customers,2558,missing_state,Missing state value
customers,2146,missing_state,Missing state value
customers,6440,missing_state,Missing state value
customers,5259,missing_state,Missing state value
customers,5453,missing_state,Missing state value
customers,503,missing_state,Missing state value
customers,1488,missing_state,Missing state value
products,103,inconsistent_category,Category spelling/capitalization inconsistency
products,425,inconsistent_category,Category spelling/capitalization inconsistency
products,449,inconsistent_category,Category spelling/capitalization inconsistency
products,520,inconsistent_category,Category spelling/capitalization inconsistency
products,46,inconsistent_category,Category spelling/capitalization inconsistency
products,655,inconsistent_category,Category spelling/capitalization inconsistency
products,227,inconsistent_category,Category spelling/capitalization inconsistency
products,73,inconsistent_category,Category spelling/capitalization inconsistency
products,45,inconsistent_category,Category spelling/capitalization inconsistency
products,359,inconsistent_category,Category spelling/capitalization inconsistency
products,254,inconsistent_category,Category spelling/capitalization inconsistency
products,661,inconsistent_category,Category spelling/capitalization inconsistency
products,617,inconsistent_category,Category spelling/capitalization inconsistency
products,536,inconsistent_category,Category spelling/capitalization inconsistency
products,55,inconsistent_category,Category spelling/capitalization inconsistency
products,89,inconsistent_category,Category spelling/capitalization inconsistency
products,203,inconsistent_category,Category spelling/capitalization inconsistency
products,592,inconsistent_category,Category spelling/capitalization inconsistency
products,202,inconsistent_category,Category spelling/capitalization inconsistency
products,557,inconsistent_category,Category spelling/capitalization inconsistency
products,432,inconsistent_category,Category spelling/capitalization inconsistency
products,376,inconsistent_category,Category spelling/capitalization inconsistency
products,481,inconsistent_category,Category spelling/capitalization inconsistency
products,162,inconsistent_category,Category spelling/capitalization inconsistency
products,466,inconsistent_category,Category spelling/capitalization inconsistency
products,183,inconsistent_category,Category spelling/capitalization inconsistency
products,443,inconsistent_category,Category spelling/capitalization inconsistency
products,643,inconsistent_category,Category spelling/capitalization inconsistency
products,438,inconsistent_category,Category spelling/capitalization inconsistency
products,473,inconsistent_category,Category spelling/capitalization inconsistency
products,143,inconsistent_category,Category spelling/capitalization inconsistency
products,356,inconsistent_category,Category spelling/capitalization inconsistency
products,319,inconsistent_category,Category spelling/capitalization inconsistency
products,657,inconsistent_category,Category spelling/capitalization inconsistency
products,469,inconsistent_category,Category spelling/capitalization inconsistency
products,334,inconsistent_category,Category spelling/capitalization inconsistency
products,256,inconsistent_category,Category spelling/capitalization inconsistency
products,654,inconsistent_category,Category spelling/capitalization inconsistency
products,362,inconsistent_category,Category spelling/capitalization inconsistency
products,198,inconsistent_category,Category spelling/capitalization inconsistency
products,27,inconsistent_category,Category spelling/capitalization inconsistency
products,587,inconsistent_category,Category spelling/capitalization inconsistency
products,137,inconsistent_category,Category spelling/capitalization inconsistency
products,652,inconsistent_category,Category spelling/capitalization inconsistency
products,630,inconsistent_category,Category spelling/capitalization inconsistency
products,277,negative_unit_cost,Unit cost cannot be negative
products,633,negative_unit_cost,Unit cost cannot be negative
products,462,negative_unit_cost,Unit cost cannot be negative
products,58,negative_unit_cost,Unit cost cannot be negative
products,59,negative_unit_cost,Unit cost cannot be negative
products,430,negative_unit_cost,Unit cost cannot be negative
products,32,negative_unit_cost,Unit cost cannot be negative
products,28,negative_unit_cost,Unit cost cannot be negative
products,505,negative_unit_cost,Unit cost cannot be negative
products,194,negative_unit_cost,Unit cost cannot be negative
products,659,negative_unit_cost,Unit cost cannot be negative
products,552,negative_unit_cost,Unit cost cannot be negative
products,554,negative_unit_cost,Unit cost cannot be negative
products,192,negative_unit_cost,Unit cost cannot be negative
products,298,negative_unit_cost,Unit cost cannot be negative
products,743,negative_unit_cost,Unit cost cannot be negative
products,473,negative_unit_cost,Unit cost cannot be negative
products,584,negative_unit_cost,Unit cost cannot be negative
products,642,negative_unit_cost,Unit cost cannot be negative
products,55,negative_unit_cost,Unit cost cannot be negative
stores,4,inconsistent_region,Region capitalization inconsistency
stores,16,inconsistent_region,Region capitalization inconsistency
stores,2,inconsistent_region,Region capitalization inconsistency
stores,39,inconsistent_region,Region capitalization inconsistency
stores,23,inconsistent_region,Region capitalization inconsistency
stores,13,inconsistent_region,Region capitalization inconsistency
stores,6,inconsistent_region,Region capitalization inconsistency
stores,7,inconsistent_region,Region capitalization inconsistency
orders,27392,invalid_discount,Discount exceeds allowed business threshold
orders,70414,invalid_discount,Discount exceeds allowed business threshold
orders,11423,invalid_discount,Discount exceeds allowed business threshold
orders,83680,invalid_discount,Discount exceeds allowed business threshold
orders,44031,invalid_discount,Discount exceeds allowed business threshold
orders,43137,invalid_discount,Discount exceeds allowed business threshold
orders,44617,invalid_discount,Discount exceeds allowed business threshold
orders,62238,invalid_discount,Discount exceeds allowed business threshold
orders,79067,invalid_discount,Discount exceeds allowed business threshold
orders,34549,invalid_discount,Discount exceeds allowed business threshold
orders,87953,invalid_discount,Discount exceeds allowed business threshold
orders,11166,invalid_discount,Discount exceeds allowed business threshold
orders,48805,invalid_discount,Discount exceeds allowed business threshold
orders,76678,invalid_discount,Discount exceeds allowed business threshold
orders,18984,invalid_discount,Discount exceeds allowed business threshold
orders,74223,invalid_discount,Discount exceeds allowed business threshold
orders,78197,invalid_discount,Discount exceeds allowed business threshold
orders,23373,invalid_discount,Discount exceeds allowed business threshold
orders,45497,invalid_discount,Discount exceeds allowed business threshold
orders,13213,invalid_discount,Discount exceeds allowed business threshold
orders,75957,invalid_discount,Discount exceeds allowed business threshold
orders,55299,invalid_discount,Discount exceeds allowed business threshold
orders,57428,invalid_discount,Discount exceeds allowed business threshold
orders,18374,invalid_discount,Discount exceeds allowed business threshold
orders,20550,invalid_discount,Discount exceeds allowed business threshold
orders,87391,invalid_discount,Discount exceeds allowed business threshold
orders,48721,invalid_discount,Discount exceeds allowed business threshold
orders,67806,invalid_discount,Discount exceeds allowed business threshold
orders,62905,invalid_discount,Discount exceeds allowed business threshold
orders,89424,invalid_discount,Discount exceeds allowed business threshold
orders,74701,invalid_discount,Discount exceeds allowed business threshold
orders,67208,invalid_discount,Discount exceeds allowed business threshold
orders,27669,invalid_discount,Discount exceeds allowed business threshold
orders,52087,invalid_discount,Discount exceeds allowed business threshold
orders,74390,invalid_discount,Discount exceeds allowed business threshold
orders,19255,invalid_discount,Discount exceeds allowed business threshold
orders,58916,invalid_discount,Discount exceeds allowed business threshold
orders,67268,invalid_discount,Discount exceeds allowed business threshold
orders,4179,invalid_discount,Discount exceeds allowed business threshold
orders,32691,invalid_discount,Discount exceeds allowed business threshold
orders,62729,invalid_discount,Discount exceeds allowed business threshold
orders,12432,invalid_discount,Discount exceeds allowed business threshold
orders,88171,invalid_discount,Discount exceeds allowed business threshold
orders,14977,invalid_discount,Discount exceeds allowed business threshold
orders,38603,invalid_discount,Discount exceeds allowed business threshold
orders,3011,invalid_discount,Discount exceeds allowed business threshold
orders,86709,invalid_discount,Discount exceeds allowed business threshold
orders,34473,invalid_discount,Discount exceeds allowed business threshold
orders,48671,invalid_discount,Discount exceeds allowed business threshold
orders,48863,invalid_discount,Discount exceeds allowed business threshold
orders,22289,invalid_discount,Discount exceeds allowed business threshold
orders,38898,invalid_discount,Discount exceeds allowed business threshold
orders,52902,invalid_discount,Discount exceeds allowed business threshold
orders,46521,invalid_discount,Discount exceeds allowed business threshold
orders,24904,invalid_discount,Discount exceeds allowed business threshold
orders,79093,invalid_discount,Discount exceeds allowed business threshold
orders,2466,invalid_discount,Discount exceeds allowed business threshold
orders,61844,invalid_discount,Discount exceeds allowed business threshold
orders,29022,invalid_discount,Discount exceeds allowed business threshold
orders,1092,invalid_discount,Discount exceeds allowed business threshold
orders,22455,invalid_discount,Discount exceeds allowed business threshold
orders,56297,invalid_discount,Discount exceeds allowed business threshold
orders,20242,invalid_discount,Discount exceeds allowed business threshold
orders,66807,invalid_discount,Discount exceeds allowed business threshold
orders,4677,invalid_discount,Discount exceeds allowed business threshold
orders,8850,invalid_discount,Discount exceeds allowed business threshold
orders,1393,invalid_discount,Discount exceeds allowed business threshold
orders,60824,invalid_discount,Discount exceeds allowed business threshold
orders,7312,invalid_discount,Discount exceeds allowed business threshold
orders,38390,invalid_discount,Discount exceeds allowed business threshold
orders,74103,invalid_discount,Discount exceeds allowed business threshold
orders,67622,invalid_discount,Discount exceeds allowed business threshold
orders,44176,invalid_discount,Discount exceeds allowed business threshold
orders,59466,invalid_discount,Discount exceeds allowed business threshold
orders,42079,invalid_discount,Discount exceeds allowed business threshold
orders,42349,invalid_discount,Discount exceeds allowed business threshold
orders,25345,invalid_discount,Discount exceeds allowed business threshold
orders,74105,invalid_discount,Discount exceeds allowed business threshold
orders,33773,invalid_discount,Discount exceeds allowed business threshold
orders,21588,invalid_discount,Discount exceeds allowed business threshold
orders,77438,invalid_discount,Discount exceeds allowed business threshold
orders,28139,invalid_discount,Discount exceeds allowed business threshold
orders,13831,invalid_discount,Discount exceeds allowed business threshold
orders,7709,invalid_discount,Discount exceeds allowed business threshold
orders,45530,invalid_discount,Discount exceeds allowed business threshold
orders,86911,invalid_discount,Discount exceeds allowed business threshold
orders,78441,invalid_discount,Discount exceeds allowed business threshold
orders,76120,invalid_discount,Discount exceeds allowed business threshold
orders,76742,invalid_discount,Discount exceeds allowed business threshold
orders,80936,invalid_discount,Discount exceeds allowed business threshold
orders,8616,invalid_discount,Discount exceeds allowed business threshold
orders,64237,invalid_discount,Discount exceeds allowed business threshold
orders,31438,invalid_discount,Discount exceeds allowed business threshold
orders,17484,invalid_discount,Discount exceeds allowed business threshold
orders,12509,invalid_discount,Discount exceeds allowed business threshold
orders,42187,invalid_discount,Discount exceeds allowed business threshold
orders,77349,invalid_discount,Discount exceeds allowed business threshold
orders,7332,invalid_discount,Discount exceeds allowed business threshold
orders,40818,invalid_discount,Discount exceeds allowed business threshold
orders,79655,invalid_discount,Discount exceeds allowed business threshold
orders,26743,invalid_discount,Discount exceeds allowed business threshold
orders,16015,invalid_discount,Discount exceeds allowed business threshold
orders,24635,invalid_discount,Discount exceeds allowed business threshold
orders,52510,invalid_discount,Discount exceeds allowed business threshold
orders,46776,invalid_discount,Discount exceeds allowed business threshold
orders,21831,invalid_discount,Discount exceeds allowed business threshold
orders,10465,invalid_discount,Discount exceeds allowed business threshold
orders,63795,invalid_discount,Discount exceeds allowed business threshold
orders,14488,invalid_discount,Discount exceeds allowed business threshold
orders,52121,invalid_discount,Discount exceeds allowed business threshold
orders,37078,invalid_discount,Discount exceeds allowed business threshold
orders,38593,invalid_discount,Discount exceeds allowed business threshold
orders,76825,invalid_discount,Discount exceeds allowed business threshold
orders,18875,invalid_discount,Discount exceeds allowed business threshold
orders,41633,invalid_discount,Discount exceeds allowed business threshold
orders,23866,invalid_discount,Discount exceeds allowed business threshold
orders,25811,invalid_discount,Discount exceeds allowed business threshold
orders,33338,invalid_discount,Discount exceeds allowed business threshold
orders,76127,invalid_discount,Discount exceeds allowed business threshold
orders,61261,invalid_discount,Discount exceeds allowed business threshold
orders,81888,invalid_discount,Discount exceeds allowed business threshold
orders,41555,invalid_discount,Discount exceeds allowed business threshold
orders,74131,invalid_discount,Discount exceeds allowed business threshold
orders,37140,invalid_discount,Discount exceeds allowed business threshold
orders,63241,invalid_discount,Discount exceeds allowed business threshold
orders,42750,invalid_discount,Discount exceeds allowed business threshold
orders,19045,invalid_discount,Discount exceeds allowed business threshold
orders,57295,invalid_discount,Discount exceeds allowed business threshold
orders,66900,invalid_discount,Discount exceeds allowed business threshold
orders,17157,invalid_discount,Discount exceeds allowed business threshold
orders,45229,invalid_discount,Discount exceeds allowed business threshold
orders,79904,invalid_discount,Discount exceeds allowed business threshold
orders,56729,invalid_discount,Discount exceeds allowed business threshold
orders,50946,invalid_discount,Discount exceeds allowed business threshold
orders,87275,invalid_discount,Discount exceeds allowed business threshold
orders,1447,invalid_discount,Discount exceeds allowed business threshold
orders,12713,invalid_discount,Discount exceeds allowed business threshold
orders,26684,invalid_discount,Discount exceeds allowed business threshold
orders,48959,invalid_discount,Discount exceeds allowed business threshold
orders,61161,invalid_discount,Discount exceeds allowed business threshold
orders,7749,invalid_discount,Discount exceeds allowed business threshold
orders,63386,invalid_discount,Discount exceeds allowed business threshold
orders,53579,invalid_discount,Discount exceeds allowed business threshold
orders,32183,invalid_discount,Discount exceeds allowed business threshold
orders,6318,invalid_discount,Discount exceeds allowed business threshold
orders,13386,invalid_discount,Discount exceeds allowed business threshold
orders,1742,invalid_discount,Discount exceeds allowed business threshold
orders,72819,invalid_discount,Discount exceeds allowed business threshold
orders,88651,invalid_discount,Discount exceeds allowed business threshold
orders,21516,invalid_discount,Discount exceeds allowed business threshold
orders,70317,invalid_quantity,Quantity must be positive
orders,66381,invalid_quantity,Quantity must be positive
orders,81948,invalid_quantity,Quantity must be positive
orders,38816,invalid_quantity,Quantity must be positive
orders,65120,invalid_quantity,Quantity must be positive
orders,88035,invalid_quantity,Quantity must be positive
orders,2512,invalid_quantity,Quantity must be positive
orders,6886,invalid_quantity,Quantity must be positive
orders,18628,invalid_quantity,Quantity must be positive
orders,88425,invalid_quantity,Quantity must be positive
orders,84755,invalid_quantity,Quantity must be positive
orders,80011,invalid_quantity,Quantity must be positive
orders,8054,invalid_quantity,Quantity must be positive
orders,35898,invalid_quantity,Quantity must be positive
orders,38183,invalid_quantity,Quantity must be positive
orders,6041,invalid_quantity,Quantity must be positive
orders,50918,invalid_quantity,Quantity must be positive
orders,35480,invalid_quantity,Quantity must be positive
orders,41975,invalid_quantity,Quantity must be positive
